Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
GGG,Graco Inc.,52.25,$8.7B,n/a,Capital Goods,Fluid Controls,https://old.nasdaq.com/symbol/ggg
GRAF,Graf Industrial Corp.,16.05,$281.67M,2018,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/graf
GRAF.U,Graf Industrial Corp.,n/a,n/a,2018,n/a,n/a,https://old.nasdaq.com/symbol/graf.u
GRAF.WS,Graf Industrial Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/graf.ws
EAF,GrafTech International Ltd.,6.8,$1.82B,2018,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/eaf
GHM,Graham Corporation,12.4,$123.62M,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/ghm
GHC,Graham Holdings Company,402.07,$2.11B,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/ghc
GRAM,Grana y Montero S.A.A.,2.175,$379.28M,2018,Basic Industries,Military/Government/Technical,https://old.nasdaq.com/symbol/gram
GVA,Granite Construction Incorporated,18.9,$883.41M,n/a,Basic Industries,Military/Government/Technical,https://old.nasdaq.com/symbol/gva
GPMT,Granite Point Mortgage Trust Inc.,7.02,$387.06M,2017,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/gpmt
GRP.U,Granite Real Estate Inc.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/grp.u
GPK,Graphic Packaging Holding Company,14.32,$4B,n/a,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/gpk
GTN,"Gray Television, Inc.",14.2,$1.41B,n/a,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/gtn
GTN.A,"Gray Television, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/gtn.a
AJX,Great Ajax Corp.,9.1,$208.67M,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ajx
AJXA,Great Ajax Corp.,24.2801,n/a,2017,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ajxa
GWB,"Great Western Bancorp, Inc.",13.45,$739.94M,2014,Finance,Major Banks,https://old.nasdaq.com/symbol/gwb
GDOT,Green Dot Corporation,53.01,$2.81B,2010,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/gdot
GBX,"Greenbrier Companies, Inc. (The)",26.26,$858.73M,1994,Capital Goods,Railroads,https://old.nasdaq.com/symbol/gbx
GHL,"Greenhill & Co., Inc.",11.07,$207.93M,2004,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/ghl
GHG,GreenTree Hospitality Group Ltd.,13.36,$1.37B,2018,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/ghg
GEF,"Greif, Inc.",37.13,$2.21B,n/a,n/a,n/a,https://old.nasdaq.com/symbol/gef
GEF.B,"Greif, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/gef.b
GFF,Griffon Corporation,19.83,$940.56M,n/a,Capital Goods,Building Products,https://old.nasdaq.com/symbol/gff
GPI,"Group 1 Automotive, Inc.",82.77,$1.5B,1997,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/gpi
GRUB,GrubHub Inc.,70.77,$6.53B,2014,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/grub
PAC,"Grupo Aeroportuario Del Pacifico, S.A. de C.V.",67.51,$3.79B,2006,Transportation,Aerospace,https://old.nasdaq.com/symbol/pac
ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V.",103.69,$3.11B,n/a,Transportation,Aerospace,https://old.nasdaq.com/symbol/asr
AVAL,Grupo Aval Acciones y Valores S.A.,4.83,$5.38B,2014,Finance,Commercial Banks,https://old.nasdaq.com/symbol/aval
SUPV,Grupo Supervielle S.A.,2.95,$269.47M,2016,Finance,Commercial Banks,https://old.nasdaq.com/symbol/supv
TV,Grupo Televisa S.A.,5.52,$364.25B,1993,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/tv
GSAH.U,GS Acquisition Holdings Corp II,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/gsah.u
GSX,GSX Techedu Inc.,83.78,$20B,2019,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/gsx
GTT,"GTT Communications, Inc.",6.87,$404.09M,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/gtt
GSH,Guangshen Railway Company Limited,10.24,$1.45B,n/a,Transportation,Railroads,https://old.nasdaq.com/symbol/gsh
GES,"Guess?, Inc.",10.7,$723.35M,1996,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/ges
GGM,Guggenheim Credit Allocation Fund,17.49,$149.96M,2013,n/a,n/a,https://old.nasdaq.com/symbol/ggm
GPM,Guggenheim Enhanced Equity Income Fund,5.52,$266.85M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/gpm
GOF,Guggenheim Strategic Opportunities Fund,16.99,$695.08M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/gof
GBAB,Guggenheim Taxable Municipal Managed Duration Trst,23.85,$434.03M,2010,n/a,n/a,https://old.nasdaq.com/symbol/gbab
GWRE,"Guidewire Software, Inc.",121.84,$10.13B,2012,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/gwre
HRB,"H&R Block, Inc.",14.36,$2.76B,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/hrb
FUL,H. B. Fuller Company,45.11,$2.33B,n/a,Basic Industries,Home Furnishings,https://old.nasdaq.com/symbol/ful
HAE,Haemonetics Corporation,92.04,$4.64B,1991,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/hae
HAL,Halliburton Company,14.18,$12.44B,n/a,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/hal
HBB,Hamilton Beach Brands Holding Company,10.4,$141.7M,2017,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/hbb
HBI,Hanesbrands Inc.,14.05,$4.89B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/hbi
HNGR,"Hanger, Inc.",17.91,$676.87M,2018,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/hngr
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",34.65,$2.51B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hasi
HOG,"Harley-Davidson, Inc.",28.63,$4.39B,n/a,Consumer Non-Durables,Motor Vehicles,https://old.nasdaq.com/symbol/hog
HMY,Harmony Gold Mining Company Limited,6.42,$3.83B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/hmy
HSC,Harsco Corporation,14.93,$1.18B,n/a,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/hsc
HGH,"Hartford Financial Services Group, Inc. (The)",28.14,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/hgh
HIG,"Hartford Financial Services Group, Inc. (The)",42.12,$15.08B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/hig
HIG^G,"Hartford Financial Services Group, Inc. (The)",27.86,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hig^g
HVT,"Haverty Furniture Companies, Inc.",14.02,$263.58M,n/a,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/hvt
HVT.A,"Haverty Furniture Companies, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hvt.a
HE,"Hawaiian Electric Industries, Inc.",37.45,$4.09B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/he
HCHC,"HC2 Holdings, Inc.",2.96,$137.79M,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/hchc
HCA,"HCA Healthcare, Inc.",122.42,$41.33B,2011,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/hca
HCI,"HCI Group, Inc.",46.48,$366.13M,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/hci
HDB,HDFC Bank Limited,50.12,$91.72B,2001,Finance,Commercial Banks,https://old.nasdaq.com/symbol/hdb
HR,Healthcare Realty Trust Incorporated,28.69,$3.87B,1993,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hr
HTA,"Healthcare Trust of America, Inc.",26.73,$5.84B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hta
PEAK,"Healthpeak Properties, Inc.",26.81,$14.43B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/peak
HL,Hecla Mining Company,5.33,$2.8B,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/hl
HL^B,Hecla Mining Company,57.6,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/hl^b
HEI,Heico Corporation,98.67,$13.3B,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/hei
HEI.A,Heico Corporation,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hei.a
HLX,"Helix Energy Solutions Group, Inc.",3.82,$573.02M,n/a,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/hlx
HP,"Helmerich & Payne, Inc.",19.29,$2.07B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/hp
HLF,Herbalife Nutrition Ltd.,50.8,$7B,2004,Health Care,Other Pharmaceuticals,https://old.nasdaq.com/symbol/hlf
HRI,Herc Holdings Inc.,35.42,$1.03B,2016,n/a,n/a,https://old.nasdaq.com/symbol/hri
HCXY,"Hercules Capital, Inc.",25,n/a,2018,n/a,n/a,https://old.nasdaq.com/symbol/hcxy
HCXZ,"Hercules Capital, Inc.",24.657,n/a,2018,n/a,n/a,https://old.nasdaq.com/symbol/hcxz
HTGC,"Hercules Capital, Inc.",11.05,$1.26B,2012,n/a,n/a,https://old.nasdaq.com/symbol/htgc
HRTG,"Heritage Insurance Holdings, Inc.",12.33,$347.85M,2014,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/hrtg
PSV,Hermitage Offshore Services Ltd.,0.94,$29.45M,2014,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/psv
HT,Hersha Hospitality Trust,5.11,$197.83M,1999,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ht
HT^C,Hersha Hospitality Trust,11.45,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ht^c
HT^D,Hersha Hospitality Trust,11.04,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ht^d
HT^E,Hersha Hospitality Trust,10.85,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ht^e
HSY,Hershey Company (The),138.46,$28.8B,n/a,Consumer Non-Durables,Specialty Foods,https://old.nasdaq.com/symbol/hsy
HTZ,"Hertz Global Holdings, Inc",1.74,$247.59M,2016,Consumer Services,Rental/Leasing Companies,https://old.nasdaq.com/symbol/htz
HES,Hess Corporation,52.09,$16B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/hes
HESM,Hess Midstream LP,17.58,$316.94M,2017,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/hesm
HPE,Hewlett Packard Enterprise Company,9.75,$12.53B,2015,Technology,Retail: Computer Software & Peripheral Equipment,https://old.nasdaq.com/symbol/hpe
HXL,Hexcel Corporation,45.97,$3.84B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/hxl
HEXO,HEXO Corp.,0.717,$320.35M,n/a,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/hexo
PCF,High Income Securities Fund,7.94,$44.19M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/pcf
HGLB,Highland Global Allocation Fund,6.4,$144.01M,2019,n/a,n/a,https://old.nasdaq.com/symbol/hglb
HFRO,Highland Income Fund,7.88,$565.59M,2017,n/a,n/a,https://old.nasdaq.com/symbol/hfro
HFRO^A,Highland Income Fund,24.45,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hfro^a
HPR,HighPoint Resources Corporation,0.386,$83.01M,2018,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/hpr
HIW,"Highwoods Properties, Inc.",37.36,$3.88B,1994,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hiw
HIL,"Hill International, Inc.",1.5,$83.98M,2018,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/hil
HI,Hillenbrand Inc,27.53,$2.06B,n/a,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/hi
HRC,Hill-Rom Holdings Inc,115.09,$7.66B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/hrc
HTH,Hilltop Holdings Inc.,18.26,$1.65B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/hth
HGV,Hilton Grand Vacations Inc.,20.78,$1.77B,2016,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/hgv
HLT,Hilton Worldwide Holdings Inc.,79.62,$22.08B,2016,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/hlt
HNI,HNI Corporation,30.45,$1.3B,n/a,Consumer Durables,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/hni
HMLP,Hoegh LNG Partners LP,11.08,$368.81M,2014,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/hmlp
HMLP^A,Hoegh LNG Partners LP,22.97,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hmlp^a
HEP,"Holly Energy Partners, L.P.",13.87,$1.46B,2004,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/hep
HFC,HollyFrontier Corporation,27.34,$4.43B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/hfc
HD,"Home Depot, Inc. (The)",265.17,$285.2B,n/a,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/hd
HMC,"Honda Motor Company, Ltd.",25.97,$44.84B,n/a,Capital Goods,Auto Manufacturing,https://old.nasdaq.com/symbol/hmc
HON,Honeywell International Inc.,154.61,$108.51B,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/hon
HMN,Horace Mann Educators Corporation,38.31,$1.58B,1991,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/hmn
HZN,Horizon Global Corporation,4.48,$114.12M,2015,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/hzn
HTFA,Horizon Technology Finance Corporation,24.64,n/a,2017,n/a,n/a,https://old.nasdaq.com/symbol/htfa
HRL,Hormel Foods Corporation,49.78,$26.83B,n/a,Consumer Non-Durables,Meat/Poultry/Fish,https://old.nasdaq.com/symbol/hrl
HST,"Host Hotels & Resorts, Inc.",10.87,$7.66B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hst
HLI,"Houlihan Lokey, Inc.",56.17,$3.84B,2015,Finance,Investment Managers,https://old.nasdaq.com/symbol/hli
HOV,Hovnanian Enterprises Inc,22.92,$140.54M,n/a,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/hov
HHC,Howard Hughes Corporation (The),53.32,$2.93B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hhc
HWM,Howmet Aerospace Inc.,16.14,$7.04B,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/hwm
HPQ,HP Inc.,17.73,$25.35B,n/a,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/hpq
HPX.U,HPX Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/hpx.u
HSBC,HSBC Holdings plc,23.56,$95.96B,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/hsbc
HSBC^A,HSBC Holdings plc,25.86,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hsbc^a
HMI,Huami Corporation,14.15,$876.59M,2018,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/hmi
HNP,"Huaneng Power International, Inc.",17.18,$6.74B,1994,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/hnp
HUBB,Hubbell Inc,132.51,$7.18B,2015,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/hubb
HUBS,"HubSpot, Inc.",231.17,$10.09B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/hubs
HBM,Hudbay Minerals Inc.,3.53,$922.29M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/hbm
HUD,Hudson Ltd.,4.4,$406.73M,2018,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/hud
HPP,"Hudson Pacific Properties, Inc.",23.96,$3.67B,2010,Finance,Real Estate,https://old.nasdaq.com/symbol/hpp
HUM,Humana Inc.,402.37,$53.2B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/hum
HCFT,"Hunt Companies Finance Trust, Inc.",2.36,$58.86M,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hcft
HII,"Huntington Ingalls Industries, Inc.",179.61,$7.27B,n/a,Capital Goods,Marine Transportation,https://old.nasdaq.com/symbol/hii
HUN,Huntsman Corporation,19.47,$4.29B,2005,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/hun
HUYA,HUYA Inc.,23.79,$5.22B,2018,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/huya
H,Hyatt Hotels Corporation,52.16,$5.27B,2009,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/h
HY,"Hyster-Yale Materials Handling, Inc.",37.33,$626.71M,n/a,Capital Goods,Construction/Ag Equipment/Trucks,https://old.nasdaq.com/symbol/hy
IAA,"IAA, Inc.",39.6,$5.3B,2019,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/iaa
IAG,Iamgold Corporation,4.9,$2.31B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/iag
IBN,ICICI Bank Limited,10.4,$33.65B,n/a,Finance,Commercial Banks,https://old.nasdaq.com/symbol/ibn
ICL,ICL Group Ltd.,3.25,$4.16B,2014,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/icl
IDA,"IDACORP, Inc.",92.83,$4.68B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/ida
IEX,IDEX Corporation,169.34,$12.77B,1989,Capital Goods,Fluid Controls,https://old.nasdaq.com/symbol/iex
IDT,IDT Corporation,6.57,$174.43M,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/idt
INFO,IHS Markit Ltd.,80.2,$31.82B,1996,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/info
ITW,Illinois Tool Works Inc.,182.62,$57.7B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/itw
IMAX,Imax Corporation,12.91,$758.94M,n/a,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/imax
ICD,"Independence Contract Drilling, Inc.",4,$20.01M,2014,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/icd
IHC,Independence Holding Company,31.85,$470.92M,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/ihc
IRT,"Independence Realty Trust, Inc.",11.25,$1.07B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/irt
IFN,"India Fund, Inc. (The)",16.43,$442.04M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ifn
IBA,"Industrias Bachoco, S.A. de C.V.",36.86,$1.84B,1997,Consumer Non-Durables,Meat/Poultry/Fish,https://old.nasdaq.com/symbol/iba
INFY,Infosys Limited,12.3,$52.17B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/infy
ING,"ING Group, N.V.",7.47,$29.13B,1997,Finance,Commercial Banks,https://old.nasdaq.com/symbol/ing
IR,Ingersoll Rand Inc.,31.9,$13.29B,2017,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/ir
NGVT,Ingevity Corporation,59.41,$2.45B,2016,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/ngvt
INGR,Ingredion Incorporated,85.01,$5.69B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/ingr
IIPR,"Innovative Industrial Properties, Inc.",96.21,$2.09B,2016,Finance,Real Estate,https://old.nasdaq.com/symbol/iipr
IIPR^A,"Innovative Industrial Properties, Inc.",30.5,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/iipr^a
IPHI,Inphi Corporation,125.33,$6.04B,2010,Technology,Semiconductors,https://old.nasdaq.com/symbol/iphi
INSI,Insight Select Income Fund,20.13,$215.59M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/insi
NSP,"Insperity, Inc.",67.07,$2.6B,n/a,Technology,Professional Services,https://old.nasdaq.com/symbol/nsp
INSP,"Inspire Medical Systems, Inc.",101.88,$2.72B,1998,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/insp
IBP,"Installed Building Products, Inc.",81.55,$2.43B,2014,Basic Industries,Homebuilding,https://old.nasdaq.com/symbol/ibp
ITGR,Integer Holdings Corporation,71.97,$2.36B,n/a,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/itgr
ICE,Intercontinental Exchange Inc.,96.06,$52.57B,2005,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/ice
IHG,Intercontinental Hotels Group,49.26,$9B,n/a,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/ihg
IFS,Intercorp Financial Services Inc.,26.58,$3.07B,2019,Finance,Commercial Banks,https://old.nasdaq.com/symbol/ifs
IBM,International Business Machines Corporation,128.67,$114.25B,n/a,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/ibm
IFF,"International Flavors & Fragrances, Inc.",128.55,$13.75B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/iff
IFFT,"International Flavors & Fragrances, Inc.",46.46,n/a,2018,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/ifft
IGT,International Game Technology,10.59,$2.16B,2015,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/igt
IP,International Paper Company,36.65,$14.4B,n/a,Basic Industries,Paper,https://old.nasdaq.com/symbol/ip
INSW,"International Seaways, Inc.",16.4,$473.04M,2016,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/insw
INSW^A,"International Seaways, Inc.",25.4,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/insw^a
IPV,InterPrivate Acquisition Corp.,10.05,$312.11M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/ipv
IPV.U,InterPrivate Acquisition Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/ipv.u
IPV.WS,InterPrivate Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ipv.ws
IPG,"Interpublic Group of Companies, Inc. (The)",18,$7.01B,n/a,Technology,Advertising,https://old.nasdaq.com/symbol/ipg
IPI,"Intrepid Potash, Inc",0.91,$120.99M,2008,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/ipi
IVC,Invacare Corporation,7,$240.94M,n/a,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/ivc
VBF,Invesco Bond Fund,20.26,$230.69M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vbf
VCV,Invesco California Value Municipal Income Trust,12.11,$579.65M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vcv
VTA,Invesco Credit Opportunities Fund,8.93,$562.41M,2007,n/a,n/a,https://old.nasdaq.com/symbol/vta
IHIT,Invesco High Income 2023 Target Term Fund,7.65,$183.84M,2016,n/a,n/a,https://old.nasdaq.com/symbol/ihit
IHTA,Invesco High Income 2024 Target Term Fund,7.39,$64.87M,2017,n/a,n/a,https://old.nasdaq.com/symbol/ihta
VLT,Invesco High Income Trust II,12.1138,$78.68M,1989,n/a,n/a,https://old.nasdaq.com/symbol/vlt
IVR,INVESCO MORTGAGE CAPITAL INC,3.39,$614.63M,2009,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ivr
IVR^B,INVESCO MORTGAGE CAPITAL INC,20.01,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ivr^b
IVR^C,INVESCO MORTGAGE CAPITAL INC,19.54,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ivr^c
IVR^A,Invesco Mortgage Capital Inc.,22,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ivr^a
OIA,Invesco Municipal Income Opportunities Trust,7.28,$346.19M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/oia
VMO,Invesco Municipal Opportunity Trust,12.18,$821.11M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vmo
VKQ,Invesco Municipal Trust,12.26,$678.23M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vkq
VPV,Invesco Pennsylvania Value Municipal Income Trust,12.36,$294.53M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vpv
IVZ,Invesco Plc,10.53,$4.83B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/ivz
IQI,Invesco Quality Municipal Income Trust,12.27,$648.88M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/iqi
VVR,Invesco Senior Income Trust,3.42,$523.37M,1998,n/a,n/a,https://old.nasdaq.com/symbol/vvr
VTN,Invesco Trust  for Investment Grade New York Municipal,12.47,$242.89M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vtn
VGM,Invesco Trust for Investment Grade Municipals,12.53,$679.44M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vgm
IIM,Invesco Value Municipal Income Trust,14.85,$698.79M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/iim
IRET,Investors Real Estate Trust,72.44,$881.3M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/iret
IRET^C,Investors Real Estate Trust,25.7,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/iret^c
NVTA,Invitae Corporation,32.48,$4.06B,2015,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/nvta
INVH,Invitation Homes Inc.,28.4,$15.92B,2017,Finance,Real Estate,https://old.nasdaq.com/symbol/invh
IO,Ion Geophysical Corporation,2.71,$40.75M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/io
IQV,"IQVIA Holdings, Inc.",164.29,$31.37B,2013,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/iqv
IRM,Iron Mountain Incorporated,27.5,$7.92B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/irm
IRS,IRSA Inversiones Y Representaciones S.A.,4.13,$238.99M,n/a,Consumer Services,Homebuilding,https://old.nasdaq.com/symbol/irs
STAR          ,iStar Inc.,12.21,$940.89M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/star
STAR^D,iStar Inc.,24.8512,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/star^d
STAR^G,iStar Inc.,24.21,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/star^g
STAR^I,iStar Inc.,24.1,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/star^i
ITCB,Ita? CorpBanca,4.54,$1.55B,n/a,Finance,Commercial Banks,https://old.nasdaq.com/symbol/itcb
